HCHO_reading,Location,Date
0.00018203204122,Colombo Proper,2019-10-15
0.0001768249399084,Colombo Proper,2019-10-16
4.544709803342311e-05,Colombo Proper,2019-10-17
0.0001029842285738,Colombo Proper,2019-10-18
0.000166222072496,Colombo Proper,2019-10-19
6.604724330827594e-05,Colombo Proper,2019-10-20
9.309330741645062e-05,Colombo Proper,2019-10-21
0.00012013937152462531,Colombo Proper,2019-10-22
0.0001471854356328,Colombo Proper,2019-10-23
0.00015775233405285,Colombo Proper,2019-10-24
0.0001683192324729,Colombo Proper,2019-10-25
0.00017888613089295,Colombo Proper,2019-10-26
0.000189453029313,Colombo Proper,2019-10-27
0.00020001992773305,Colombo Proper,2019-10-28
0.0002105868261531,Colombo Proper,2019-10-29
0.00018693982128936665,Colombo Proper,2019-10-30
0.00016329281642563334,Colombo Proper,2019-10-31
0.0001396458115619,Colombo Proper,2019-11-01
0.0001020767205157,Colombo Proper,2019-11-02
0.0001340018828377,Colombo Proper,2019-11-03
0.0001659270451597,Colombo Proper,2019-11-04
0.0002203240319704,Colombo Proper,2019-11-05
0.0001085077493071,Colombo Proper,2019-11-06
0.0001533303704185,Colombo Proper,2019-11-07
6.201775344162804e-05,Colombo Proper,2019-11-09
9.954417328117417e-05,Colombo Proper,2019-11-10
0.0002464783486751,Colombo Proper,2019-11-11
0.0002286748077898,Colombo Proper,2019-11-12
0.00016726282604255,Colombo Proper,2019-11-13
0.0001058508442953,Colombo Proper,2019-11-14
0.000304956160363,Colombo Proper,2019-11-15
0.0001181269595507,Colombo Proper,2019-11-16
0.0002163568638083,Colombo Proper,2019-11-17
0.0002562980434127,Colombo Proper,2019-11-18
0.0002262293126616,Colombo Proper,2019-11-19
0.0001183108649021,Colombo Proper,2019-11-20
0.0002690103541566,Colombo Proper,2019-11-21
0.0002406342461061,Colombo Proper,2019-11-22
5.579817723156864e-05,Colombo Proper,2019-11-24
9.858844396058432e-05,Colombo Proper,2019-11-25
0.0001413787106896,Colombo Proper,2019-11-26
0.0002078347199929,Colombo Proper,2019-11-27
5.68003627756596e-05,Colombo Proper,2019-11-28
0.00018957959552322982,Colombo Proper,2019-11-29
0.0001704950669758,Colombo Proper,2019-12-01
0.0001486318043901,Colombo Proper,2019-12-02
0.0001022840006044,Colombo Proper,2019-12-03
0.00011228381732440001,Colombo Proper,2019-12-04
0.0001222836340444,Colombo Proper,2019-12-05
0.0001322834507644,Colombo Proper,2019-12-06
0.00013986657842465002,Colombo Proper,2019-12-07
0.0001474497060849,Colombo Proper,2019-12-08
0.000166717643919,Colombo Proper,2019-12-09
0.0001859855817531,Colombo Proper,2019-12-10
0.0001228435862202,Colombo Proper,2019-12-11
0.0001042457855687,Colombo Proper,2019-12-12
0.0002164941691222,Colombo Proper,2019-12-13
0.00027549814347,Colombo Proper,2019-12-16
0.0001214960906414,Colombo Proper,2019-12-17
0.00011099451822772992,Colombo Proper,2019-12-18
0.00010049294581405984,Colombo Proper,2019-12-19
8.999137340038978e-05,Colombo Proper,2019-12-20
7.94898009867197e-05,Colombo Proper,2019-12-21
0.00011399769480495984,Colombo Proper,2019-12-22
0.0001485055886232,Colombo Proper,2019-12-23
0.0002550241906414,Colombo Proper,2019-12-24
4.728911813486761e-05,Colombo Proper,2019-12-25
0.0002037281242062,Colombo Proper,2019-12-26
0.0002416867643049,Colombo Proper,2019-12-27
0.0001144656784438,Colombo Proper,2019-12-28
0.0001522148543134,Colombo Proper,2019-12-29
0.0002942146156084,Colombo Proper,2019-12-30
0.00024258532287654998,Colombo Proper,2019-12-31
0.0001909560301447,Colombo Proper,2020-01-01
0.000175819716712,Colombo Proper,2020-01-02
0.0001811470054066,Colombo Proper,2020-01-03
0.0002221505765049,Colombo Proper,2020-01-04
0.0001451638839321,Colombo Proper,2020-01-05
0.0002312682960304,Colombo Proper,2020-01-06
0.000165506418085,Colombo Proper,2020-01-07
0.0001594447211986,Colombo Proper,2020-01-08
0.0001765471459148,Colombo Proper,2020-01-09
0.0002859636573313,Colombo Proper,2020-01-10
8.481429740966081e-05,Colombo Proper,2020-01-11
0.0001070849342063,Colombo Proper,2020-01-12
0.000239419617662,Colombo Proper,2020-01-13
0.0002342143239867,Colombo Proper,2020-01-14
0.0002480890194684,Colombo Proper,2020-01-15
0.00024987129102205,Colombo Proper,2020-01-16
0.0002516535625757,Colombo Proper,2020-01-17
0.0001968408803631,Colombo Proper,2020-01-18
0.0001422912093679,Colombo Proper,2020-01-20
0.0001066841920417,Colombo Proper,2020-01-21
8.923695397071347e-05,Colombo Proper,2020-01-22
0.0001767864040997,Colombo Proper,2020-01-23
0.0002021668074626,Colombo Proper,2020-01-24
0.0001754756686984,Colombo Proper,2020-01-25
0.0001495594419054,Colombo Proper,2020-01-26
0.0001982027954691,Colombo Proper,2020-01-27
0.0002315512988484,Colombo Proper,2020-01-28
0.0002020505990937,Colombo Proper,2020-01-29
0.0003061261842824,Colombo Proper,2020-01-30
0.00030533481802530005,Colombo Proper,2020-02-01
0.0002660284037032,Colombo Proper,2020-02-02
0.0002472165544068,Colombo Proper,2020-02-03
0.0002286302464304,Colombo Proper,2020-02-06
0.000118202084601,Colombo Proper,2020-02-07
0.0002355592067721,Colombo Proper,2020-02-08
0.0001552948225782,Colombo Proper,2020-02-11
0.0002317122707609,Colombo Proper,2020-02-12
0.0002089000604718,Colombo Proper,2020-02-13
0.0002613268290532,Colombo Proper,2020-02-14
0.000303801758523,Colombo Proper,2020-02-15
0.000280617735669,Colombo Proper,2020-02-21
0.000137693889204,Colombo Proper,2020-02-22
0.000269251566778,Colombo Proper,2020-02-23
0.000223191232682,Colombo Proper,2020-02-24
0.0002569998392544,Colombo Proper,2020-02-25
0.000211519513137,Colombo Proper,2020-02-28
0.0003134785123514,Colombo Proper,2020-02-29
0.0002889810381423,Colombo Proper,2020-03-01
0.0002060890148762,Colombo Proper,2020-03-02
0.0002824761524587,Colombo Proper,2020-03-03
0.00023627166870980002,Colombo Proper,2020-03-04
0.0001900671849609,Colombo Proper,2020-03-05
0.0002108390146402,Colombo Proper,2020-03-06
0.0002018515323925,Colombo Proper,2020-03-07
0.0002378402403791,Colombo Proper,2020-03-08
0.0003147830822962,Colombo Proper,2020-03-11
0.0002215638802353,Colombo Proper,2020-03-12
0.0003071506905542,Colombo Proper,2020-03-14
0.0002086684833428,Colombo Proper,2020-03-15
0.0002902936678157,Colombo Proper,2020-03-16
0.0003156514615008,Colombo Proper,2020-03-17
0.0002766460638569,Colombo Proper,2020-03-18
0.000237640666213,Colombo Proper,2020-03-19
0.00019863526856910002,Colombo Proper,2020-03-20
0.0001596298709252,Colombo Proper,2020-03-21
0.0002507782280502,Colombo Proper,2020-03-22
0.0002191446162801,Colombo Proper,2020-03-24
0.0001738920288399,Colombo Proper,2020-03-25
0.0002081620022439,Colombo Proper,2020-03-27
0.0001863390892109,Colombo Proper,2020-03-29
0.0002342340060185,Colombo Proper,2020-03-30
0.0001685367646813,Colombo Proper,2020-03-31
0.0001582845579832,Colombo Proper,2020-04-01
0.0002478837732618,Colombo Proper,2020-04-02
0.0002588460179914,Colombo Proper,2020-04-03
0.0001713114595895,Colombo Proper,2020-04-04
0.0001920429848473,Colombo Proper,2020-04-05
0.0002127745101051,Colombo Proper,2020-04-06
9.38554371256366e-05,Colombo Proper,2020-04-07
0.0001365360921676,Colombo Proper,2020-04-08
0.0001492311110197,Colombo Proper,2020-04-09
