Date,Location,Precipitation,Temperature,Wind Speed,Elevation,HCHO_reading
2019-05-15,Colombo Proper,3.5,29.7,17.8,5.0,0.0001394291724461
2019-05-16,Colombo Proper,4.2,29.7,16.0,5.0,0.0001171367229027
2019-05-17,Colombo Proper,2.2,29.4,13.2,5.0,0.0001095084478863
2019-05-18,Colombo Proper,3.1,29.6,15.7,5.0,9.525618991159472e-05
2019-05-19,Colombo Proper,1.0,29.7,12.7,5.0,8.700221402162398e-05
2019-05-23,Colombo Proper,2.8,28.3,15.9,5.0,0.0002171247684173
2019-05-24,Colombo Proper,41.4,27.6,14.1,5.0,0.0002034541375873
2019-05-25,Colombo Proper,8.4,28.3,20.1,5.0,0.0001897835067573
2019-05-26,Colombo Proper,0.8,29.1,13.9,5.0,0.00011078022387
2019-05-27,Colombo Proper,2.5,29.7,16.0,5.0,0.0001368899250486
2019-05-28,Colombo Proper,4.3,29.7,15.0,5.0,0.000165996737955
2019-05-29,Colombo Proper,5.6,29.7,15.8,5.0,0.0001919645662847
2019-05-30,Colombo Proper,7.5,29.5,16.6,5.0,0.0002179323946145
2019-05-31,Colombo Proper,1.5,29.6,17.7,5.0,9.379307690791867e-05
2019-06-01,Colombo Proper,0.6,29.7,15.6,5.0,7.067572073902713e-05
2019-06-02,Colombo Proper,4.3,29.7,15.6,5.0,0.0001658041001064
2019-06-03,Colombo Proper,3.0,28.1,18.4,5.0,0.0001609821398171
2019-06-04,Colombo Proper,16.3,29.3,16.9,5.0,8.42250633206326e-05
2019-06-05,Colombo Proper,2.8,29.6,19.4,5.0,9.371377986677446e-05
2019-06-06,Colombo Proper,1.8,28.7,14.1,5.0,0.0001032024964129
2019-06-07,Colombo Proper,9.7,29.0,18.0,5.0,0.000112691212959
2019-06-08,Colombo Proper,8.1,28.9,19.6,5.0,0.0001221799295052
2019-06-09,Colombo Proper,2.0,27.6,21.4,5.0,0.0001843041391111
2019-06-11,Colombo Proper,7.1,28.1,17.7,5.0,8.17687223806277e-05
2019-06-12,Colombo Proper,35.3,27.8,18.8,5.0,0.0001880614290712
2019-06-14,Colombo Proper,5.7,27.4,14.4,5.0,8.209911205126233e-05
2019-06-15,Colombo Proper,22.4,29.1,14.5,5.0,0.0001636562089987
2019-06-16,Colombo Proper,7.8,29.2,15.7,5.0,0.0001585509039457
2019-06-17,Colombo Proper,4.6,29.7,17.0,5.0,0.0001534455988928
2019-06-18,Colombo Proper,0.3,29.7,17.4,5.0,0.000158330813573
2019-06-19,Colombo Proper,5.6,29.7,20.5,5.0,0.0001450758394609
2019-06-20,Colombo Proper,12.2,27.4,21.4,5.0,0.0001435004805538
2019-06-21,Colombo Proper,7.1,28.8,20.5,5.0,0.0001419251216468
2019-06-22,Colombo Proper,16.1,27.1,21.1,5.0,0.0001403497627398
2019-06-25,Colombo Proper,3.8,29.7,16.8,5.0,0.0001698958410235
2019-06-26,Colombo Proper,2.7,29.3,21.4,5.0,0.0001470557636976
2019-06-27,Colombo Proper,3.7,29.7,19.5,5.0,0.0001242156863718
2019-06-28,Colombo Proper,1.6,29.7,19.4,5.0,8.171133330754701e-05
2019-06-29,Colombo Proper,2.5,29.6,21.0,5.0,7.340520263976472e-05
2019-07-01,Colombo Proper,2.3,29.7,20.6,5.0,8.969739342465703e-05
2019-07-02,Colombo Proper,0.5,29.6,19.9,5.0,8.080856806689084e-05
2019-07-04,Colombo Proper,1.8,29.5,17.7,5.0,8.317285235618187e-05
2019-07-05,Colombo Proper,1.5,29.3,19.0,5.0,9.39126919104318e-05
2019-07-08,Colombo Proper,3.5,29.7,14.7,5.0,0.0001606779140439
2019-07-09,Colombo Proper,7.1,27.1,14.0,5.0,0.000105578752817
2019-07-11,Colombo Proper,3.6,28.1,13.9,5.0,6.685329661024943e-05
2019-07-12,Colombo Proper,3.8,28.6,13.4,5.0,0.0001352754338604
2019-07-14,Colombo Proper,6.1,27.7,14.2,5.0,0.0001142631167627
2019-07-15,Colombo Proper,17.5,28.4,20.5,5.0,0.0001037569582139
2019-07-16,Colombo Proper,0.5,28.9,18.0,5.0,9.32507996651824e-05
2019-07-17,Colombo Proper,0.3,28.9,21.4,5.0,9.43661380441044e-05
2019-07-18,Colombo Proper,2.0,28.2,21.4,5.0,9.54814764230264e-05
2019-07-19,Colombo Proper,4.0,28.4,21.4,5.0,9.65968148019484e-05
2019-07-20,Colombo Proper,6.4,28.4,21.4,5.0,9.77121531808704e-05
2019-07-21,Colombo Proper,15.1,28.4,18.0,5.0,0.0001328017366567
2019-07-22,Colombo Proper,1.5,28.6,19.1,5.0,0.0001058807344863
2019-07-23,Colombo Proper,0.5,28.5,18.1,5.0,7.895973231606139e-05
2019-07-25,Colombo Proper,0.8,28.3,16.4,5.0,0.0001644546205319
2019-07-26,Colombo Proper,2.9,28.6,13.4,5.0,0.0001707607001308
2019-07-27,Colombo Proper,1.8,28.6,15.5,5.0,0.0001185044673927
2019-07-28,Colombo Proper,0.8,28.9,17.5,5.0,0.0001041769215942
2019-07-29,Colombo Proper,1.0,28.9,16.1,5.0,0.0001754362061189
2019-07-31,Colombo Proper,0.3,28.9,16.5,5.0,9.259486707748456e-05
2019-08-03,Colombo Proper,2.9,27.0,15.8,5.0,6.93505158442184e-05
2019-08-07,Colombo Proper,0.3,29.3,18.3,5.0,0.0002358972517484
2019-08-08,Colombo Proper,31.2,27.3,20.3,5.0,0.0002174686696311
2019-08-09,Colombo Proper,7.1,26.3,16.2,5.0,0.0001990400875139
2019-08-11,Colombo Proper,8.1,27.8,18.9,5.0,0.0001621829232794
2019-08-12,Colombo Proper,6.5,27.5,21.4,5.0,0.0001276585278342
2019-08-15,Colombo Proper,6.7,28.6,15.2,5.0,0.0001350586133809
2019-08-16,Colombo Proper,18.5,28.5,18.9,5.0,0.0001518158841661
2019-08-17,Colombo Proper,12.6,28.1,17.3,5.0,0.0001685731549514
2019-08-19,Colombo Proper,2.8,28.3,14.3,5.0,8.584961620742005e-05
2019-08-20,Colombo Proper,3.0,28.6,12.8,5.0,8.793838791530453e-05
2019-08-21,Colombo Proper,2.8,28.2,18.1,5.0,8.479952216441172e-05
2019-08-22,Colombo Proper,21.6,26.8,18.8,5.0,0.0001069432505297
2019-08-23,Colombo Proper,16.3,26.1,15.8,5.0,0.000129086978895
2019-08-24,Colombo Proper,21.6,27.1,18.5,5.0,0.0001512307072603
2019-08-27,Colombo Proper,2.5,27.7,14.9,5.0,0.0001356892651675
2019-08-28,Colombo Proper,20.3,28.1,14.7,5.0,0.000189373458852
2019-08-30,Colombo Proper,2.0,27.9,16.5,5.0,0.0001865319243184
2019-09-04,Colombo Proper,2.0,28.6,18.1,5.0,6.601078846206005e-05
2019-09-05,Colombo Proper,3.3,28.5,12.9,5.0,6.189868745003109e-05
2019-09-07,Colombo Proper,1.0,29.3,16.1,5.0,0.0001425282227641
2019-09-08,Colombo Proper,2.0,29.3,18.3,5.0,0.0001051981676809
2019-09-09,Colombo Proper,1.8,29.3,18.1,5.0,7.796198665621607e-05
2019-09-10,Colombo Proper,6.1,29.1,16.7,5.0,0.0001706459092882
2019-09-11,Colombo Proper,1.8,26.9,15.9,5.0,0.0001566867711263
2019-09-13,Colombo Proper,1.0,27.1,14.0,5.0,0.0001287684948027
2019-09-14,Colombo Proper,2.3,27.7,15.3,5.0,0.0001148093566409
2019-09-15,Colombo Proper,27.2,26.4,13.6,5.0,0.0001008502184791
2019-09-17,Colombo Proper,2.3,28.1,14.5,5.0,7.293194215549228e-05
2019-09-18,Colombo Proper,4.6,28.3,17.1,5.0,0.0001224324055217
2019-09-19,Colombo Proper,6.6,27.5,17.8,5.0,8.336853413881779e-05
2019-09-21,Colombo Proper,0.5,27.4,12.6,5.0,6.719672168285214e-05
2019-09-22,Colombo Proper,9.4,27.2,13.6,5.0,0.0001254009263638
2019-09-23,Colombo Proper,5.8,26.1,12.5,5.0,0.0001836051310449
2019-09-27,Colombo Proper,1.2,27.4,8.6,5.0,0.0001222516306589
2019-09-28,Colombo Proper,1.5,26.1,11.2,5.0,0.0002095719037861
2019-09-29,Colombo Proper,33.8,26.5,7.9,5.0,0.0001578932214216
2019-09-30,Colombo Proper,7.9,26.7,12.4,5.0,0.0001080054580652
2019-10-01,Colombo Proper,11.4,26.6,14.5,5.0,0.0001737579768947
2019-10-02,Colombo Proper,15.0,26.3,8.1,5.0,8.218956230442276e-05
2019-10-05,Colombo Proper,0.3,27.2,13.2,5.0,0.0001757757371135
2019-10-06,Colombo Proper,0.5,26.1,12.8,5.0,0.0001033393330729
2019-10-08,Colombo Proper,26.4,27.4,11.8,5.0,0.000141664818243
2019-10-09,Colombo Proper,13.2,28.1,12.7,5.0,0.0001721947790897
2019-10-10,Colombo Proper,4.9,28.1,12.0,5.0,0.000192906272276
2019-10-11,Colombo Proper,1.8,26.4,10.3,5.0,0.0001785579390808
2019-10-12,Colombo Proper,5.6,27.2,12.3,5.0,0.0001642096058857
2019-10-13,Colombo Proper,2.8,27.5,9.7,5.0,0.0001498612726906
2019-10-14,Colombo Proper,16.0,27.6,7.9,5.0,8.925810029372805e-05
2019-10-15,Colombo Proper,2.5,26.9,16.6,5.0,0.00018203204122
2019-10-16,Colombo Proper,38.9,26.3,13.3,5.0,0.0001768249399084
2019-10-18,Colombo Proper,5.4,27.3,9.5,5.0,0.0001029842285738
2019-10-19,Colombo Proper,5.1,26.9,9.4,5.0,0.000166222072496
2019-10-20,Colombo Proper,16.5,26.4,13.0,5.0,6.604724330827594e-05
2019-10-21,Colombo Proper,33.0,26.1,15.3,5.0,9.309330741645062e-05
2019-10-22,Colombo Proper,21.1,26.1,9.8,5.0,0.0001201393715246
