"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-24","0.0",",,S","31.1","H,,S","37.5",",,S","22.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-25","0.0",",,S","30.8","H,,S","37.9",",,S","21.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-26","0.0",",,S","28.4","H,,S",,,"20.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-27","0.0",",,S","30.8","H,,S","37.0",",,S","22.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-31","0.0",",,S","31.1","H,,S","38.4",",,S","23.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-01","0.0",",,S","32.1","H,,S","37.2",",,S","23.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-02","0.0",",,S","32.3","H,,S","36.9",",,S","22.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-03","0.0",",,S","30.6","H,,S","37.3",",,S","22.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-04","0.0",",,S","30.9","H,,S",,,"23.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-05","0.0",",,S","32.6","H,,S","36.8",",,S","24.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-07","0.0",",,S","30.7","H,,S","36.7",",,S","25.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-08","4.8",",,S","29.9","H,,S",,,"24.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-09","0.0",",,S","30.3","H,,S",,,"24.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-10","13.0",",,S","31.6","H,,S","37.2",",,S","23.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-11","1.5",",,S","30.1","H,,S","35.1",",,S","25.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-12","14.0",",,S","33.1","H,,S","37.2",",,S","23.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-13","3.6",",,S","32.4","H,,S","36.2",",,S","24.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-14","0.3",",,S","30.6","H,,S","36.0",",,S","24.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-15","0.0",",,S","29.7","H,,S","35.3",",,S","24.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-16","2.0",",,S","28.5","H,,S","35.6",",,S","24.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-17","2.3",",,S","27.8","H,,S","34.3",",,S","24.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-18","2.8",",,S","28.5","H,,S",,,"22.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-21","2.8",",,S","30.3","H,,S","34.7",",,S","23.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-22","38.4",",,S","29.2","H,,S",,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-24","0.0",",,S","30.4","H,,S","35.0",",,S","23.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-25","0.0",",,S","28.6","H,,S",,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-28","0.0",",,S","30.7","H,,S","34.4",",,S","25.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-29","3.0",",,S","29.5","H,,S","32.0",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-04-30","0.0",",,S","26.4","H,,S","31.6",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-01","2.8",",,S","29.6","H,,S",,,"23.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-02","0.0",",,S","28.8","H,,S",,,"25.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-03","0.0",",,S","29.3","H,,S","32.5",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-05","0.0",",,S","29.7","H,,S",,,"25.6",",,S"
